RefSoil ID	NCBI ID	Taxon ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Organism	RAST ID	Downloaded	Notes	Old_Assembly_Num		Inlcuded_in_my_RefSoil	Truncated_RefSoil	New_organism_name	New_Assembly_Num		Truncated_RefSoil
RefSoil_60	NC_006155.1	273123	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis IP 32953	273123.15	y		GCF_000834295.1		y	n	Yersinia pseudotuberculosis IP 32953	GCF_000834295.1	y	n
RefSoil_61	NC_006177.1	292459	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium thermophilum	Symbiobacterium thermophilum IAM 14863	292459.1	y		GCF_000009905.1		y	y	Symbiobacterium thermophilum IAM 14863	GCF_000009905.1	y	y
RefSoil_62	NC_006274.1	288681	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	Bacillus cereus E33L	288681.23	y		GCF_000011625.1		y	n	Bacillus cereus E33L	GCF_000011625.1	y	n
RefSoil_63	NC_006322.1	279010	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	Bacillus licheniformis DSM 13	279010.43	y		GCF_000008425.1		y	n	Bacillus licheniformis DSM 13 = ATCC 14580	GCF_000008425.1	y	n
RefSoil_64	"NC_006350.1,NC_006351.1"	272560	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	Burkholderia pseudomallei K96243	"272560.55,272560.56"	y		GCF_000011545.1		y	n	Burkholderia pseudomallei K96243	GCF_000011545.1	y	n
RefSoil_65	NC_006361.1	247156	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia farcinica	Nocardia farcinica IFM 10152	247156.16	y		GCF_000009805.1		y	n	Nocardia farcinica IFM 10152	GCF_000009805.1	y	n
RefSoil_66	NC_006368.1	297246	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	Legionella pneumophila str. Paris	297246.21	y		GCF_000048645.1		y	n	Legionella pneumophila str. Paris	GCF_000048645.1	y	n
RefSoil_67	NC_006369.1	297245	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	Legionella pneumophila str. Lens	297245.16	y		GCF_000048665.1		y	n	Legionella pneumophila str. Lens	GCF_000048665.1	y	n
RefSoil_68	NC_006511.1	295319	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	Salmonella enterica subsp. enterica serova	295319.24	y	"For some reason didn't download in original program, downloaded via assembly number "	GCF_000011885.1		y	n	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	GCF_000011885.1	y	n
RefSoil_69	NC_006513.1	76114	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum aromaticum	Aromatoleum aromaticum EbN1	76114.21	y		GCF_000025965.1		y	y	Aromatoleum aromaticum EbN1	GCF_000025965.1	y	y
RefSoil_70	NC_006582.1	66692	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clausii	Bacillus clausii KSM-K16	66692.14	y		GCF_000009825.1		y	y	Shouchella clausii KSM-K16	GCF_000009825.1	y	y
RefSoil_71	NC_006624.1	69014	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis	Thermococcus kodakarensis KOD1	69014.3	y		GCF_000009965.1		y	n	Thermococcus kodakarensis KOD1	GCF_000009965.1	y	n
RefSoil_73	NC_006831.1	302409	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia ruminantium str. Gardel	302409.8	y		GCF_000050405.1		y	n	Ehrlichia ruminantium str. Gardel	GCF_000050405.1	y	n
RefSoil_74	NC_006834.1	291331	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae	Xanthomonas oryzae pv. oryzae KACC 10331	291331.16	y	was removed from NCBI? Was still able to access genome assembly number 	GCF_000007385.1		y	n	Xanthomonas oryzae pv. oryzae KACC 10331	GCF_000007385.1	y	n
RefSoil_75	NC_006905.1	321314	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	Salmonella enterica subsp. enterica serova	321314.18	y		GCF_000008105.1		y	y	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	GCF_000008105.1	y	y
RefSoil_76	"NC_006932.1,NC_006933.1"	262698	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella abortus	Brucella abortus bv. 1 str. 9-941	"262698.13,262698.14"	y		GCF_000008145.1		y	y	Brucella abortus bv. 1 str. 9-941	GCF_000008145.1	y	y
RefSoil_77	NC_006958.1	196627	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	Corynebacterium glutamicum ATCC 13032	196627.36	y		GCF_000011325.1		y	n	Corynebacterium glutamicum ATCC 13032	GCF_000011325.1	y	n
RefSoil_78	NC_007086.1	314565	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	Xanthomonas campestris pv. campestris str	314565.11	y		GCF_000012105.1		y	n	Xanthomonas campestris pv. campestris str. 8004	GCF_000012105.1	y	n
RefSoil_79	NC_007164.1	306537	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	Corynebacterium jeikeium K411	306537.17	y		GCF_000006605.1		y	n	Corynebacterium jeikeium K411	GCF_000006605.1	y	n
RefSoil_80	NC_007168.1	279808	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus	Staphylococcus haemolyticus JCSC1435	279808.15	y		GCF_000009865.1		y	n	Staphylococcus haemolyticus JCSC1435	GCF_000009865.1	y	n
RefSoil_81	NC_007204.1	259536	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter arcticus	Psychrobacter arcticus 273-4	259536.26	y		GCF_000012305.1		y	n	Psychrobacter arcticus 273-4	GCF_000012305.1	y	n
RefSoil_82	NC_007298.1	159087	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	Dechloromonas aromatica	Dechloromonas aromatica RCB	159087.13	y	was removed from NCBI? Was still able to access genome assembly number 	GCF_000012425.1		n	n	Dechloromonas aromatica RCB	*Sad NO Buzzer noises*	n	n
RefSoil_83	NC_007333.1	269800	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Thermobifida	Thermobifida fusca	Thermobifida fusca YX	269800.11	y		GCF_015034585.1		y	n	Thermobifida fusca YX	GCF_015034585.1	y	n
RefSoil_84	NC_007355.1	269797	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri	Methanosarcina barkeri str. Fusaro	269797.24	y	was removed from NCBI? Was still able to access genome assembly number 	GCF_000195895.1		n	n	Methanosarcina barkeri str. Fusaro	*Sad NO Buzzer noises*	n	n
RefSoil_85	NC_007356.1	255470	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1	255470.15	y		GCF_000009025.1		y	n	Dehalococcoides mccartyi CBDB1	GCF_000009025.1	y	n
RefSoil_86	NC_007404.1	292415	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	Thiobacillus denitrificans	Thiobacillus denitrificans ATCC 25259	292415.13	y		GCF_000012745.1		y	n	Thiobacillus denitrificans ATCC 25259	GCF_000012745.1	y	n
RefSoil_87	NC_007406.1	323098	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Nitrobacter	Nitrobacter winogradskyi	Nitrobacter winogradskyi Nb-255	323098.1	y		GCF_000012725.1		y	y	Nitrobacter winogradskyi Nb-255	GCF_000012725.1	y	y
RefSoil_88	"NC_007434.1,NC_007435.1"	320372	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	Burkholderia pseudomallei 1710b	"320372.14,320372.13"	y		GCF_000012785.1		y	n	Burkholderia pseudomallei 1710b	GCF_000012785.1	y	n
RefSoil_89	NC_007492.2	205922	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	Pseudomonas fluorescens Pf0-1	205922.22	y		GCF_000012445.1		y	n	Pseudomonas fluorescens Pf0-1	GCF_000012445.1	y	n
RefSoil_90	"NC_007493.2,NC_007494.2"	272943	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	Rhodobacter sphaeroides 2.4.1	"272943.35,272943.34"	y		GCF_000012905.2		y	n	Cereibacter sphaeroides 2.4.1	GCF_000012905.2	y	n
RefSoil_91	NC_007498.2	338963	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Pelobacteraceae	Pelobacter	Pelobacter carbinolicus	Pelobacter carbinolicus DSM 2380	338963.13	y		GCF_000012885.1		y	n	Syntrophotalea carbinolica DSM 2380	GCF_000012885.1	y	n
RefSoil_92	NC_007508.1	316273	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas euvesicatoria	Xanthomonas campestris pv. vesicatoria str	316273.15	y		GCF_000009165.1		y	n	Xanthomonas euvesicatoria pv. vesicatoria str. 85-10	GCF_000009165.1	y	n
RefSoil_93	"NC_007510.1,NC_007511.1,NC_007509.1"	482957	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia		Burkholderia lata	"482957.27,482957.28,482957.29"	y		GCF_000012945.1		y	n	Burkholderia lata	GCF_000012945.1	y	n
